"Zeitstempel","1.1. What is your age?","1.2. What is your gender?","1.3. What is your main field of study?","1.4. What is your current academic status?","1.5. Have you taken any courses related to AI, machine learning, or data science?","1.6. How long have you been actively using AI tools such as ChatGPT, Copilot, or Gemini?","2.1. How often do you use AI tools such as ChatGPT, Copilot, or Gemini?","2.2. In a typical week, approximately how much time do you spend using AI tools?","2.3. Overall, how confident do you feel in your ability to use AI tools effectively?","2.4. What is 4 + 4? Please type the number and answer correctly","2.5. To what extent do you feel you know about AI?","3.1. What is a key criterion for the quality of a model in machine learning?","3.2. How does supervised learning differ from unsupervised learning?","3.3. What should be considered in machine learning when dividing the data into training and test data?","3.4. How can humans influence the outcome of machine learning?","3.5. To what extent can humans influence the outcome of machine learning?","3.6. What determines the behavior of AI systems?","3.7. Why can systems based on machine learning obtain good results?","3.8. What data do AI-based recommender systems of streaming services use?","3.9. You are testing a machine learning model that is supposed to classify photos of animals. You notice that the model is better at recognizing cats than dogs. What could be the reason for this?","3.10. What is the black box problem?","3.11. What are central risks in using AI for predictive policing?","3.12. Of the previous 11 questions, approximately how many do you think you answered correctly?","Competence Trust and Perceived Risk [4.1. The AI tools are reliable.]","Competence Trust and Perceived Risk [4.2. I think that AI tools are competent and perform their tasks well.]","Competence Trust and Perceived Risk [4.3. I think that AI tools perform their role very well.]","Competence Trust and Perceived Risk [4.4. I believe AI tools can do everything I would expect them to.]","Competence Trust and Perceived Risk [4.5. I can trust the information presented to me by AI tools.]","Competence Trust and Perceived Risk [4.6. AI tools are fast and efficient.]","Competence Trust and Perceived Risk [4.7. The AI tools are deceptive. (R)]","Competence Trust and Perceived Risk [4.8. The AI tools behave in an underhanded manner. (R)]","Competence Trust and Perceived Risk [4.9. I am suspicious of the AI tools' intent, action, or outputs. (R)]","Competence Trust and Perceived Risk [4.10. The AI tools' actions could lead to harmful outcomes. (R)]","Competence Trust and Perceived Risk [4.11. It is risky to interact with AI tools. (R)]","Competence Trust and Perceived Risk [4.12. ATTENTION CHECK. Please select 'Agree' for this item.]","How much would you trust AI in each of the following situations? [5.1. General knowledge questions (e.g., factual lookups)]","How much would you trust AI in each of the following situations? [5.2. Learning or study-related tasks]","How much would you trust AI in each of the following situations? [5.3. Writing academic work (essays, papers, reports)]","How much would you trust AI in each of the following situations? [5.4. Programming or technical tasks]","How much would you trust AI in each of the following situations? [5.5. Professional or work-related tasks]","How much would you trust AI in each of the following situations? [5.6. Health-related questions]","How much would you trust AI in each of the following situations? [5.7. Personal advice or life decisions]","How much would you trust AI in each of the following situations? [5.8. News and current events]"
"2026/06/08 10:40:52 PM MEZ","22","Male","Engineering/Technology","Master's student","Yes (>3 courses)","More than 2 years","Multiple times per day","3–7 hours","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","e) I don't know","c) They can draw conclusions from large amounts of data and thus improve their model","d) Only one's own data when using the service","d) The training data for dogs were not representative of all dog breeds","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","7","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","4 - Agree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","5 - Strongly agree","4 - Agree","4","4","4","4","4","4","4","3"
"2026/06/08 11:10:57 PM MEZ","24","Male","Business/Management/Marketing","Master's student","Yes (2–3 courses)","More than 2 years","A few times a week","1–3 hours","4","8","2","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","e) I don't know","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","5","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","1 - Strongly disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4 - Agree","3","4","2","3","2","2","2","3"
"2026/06/09 1:33:10 PM MEZ","20","Male","Business/Management/Marketing","Undergraduate","No","More than 2 years","Daily","1–3 hours","4","8","4","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","c) The test data should be of higher quality than the training data","c) Selection of the model","c) Humans can influence the result during development at several process steps","d) AI systems seek out goals independently and pursue them","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","e) I don't know","b) Discrimination against suspects based on origin and status","5","4 - Agree","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","5 - Completely","4","4","4","4","4","4","3"
"2026/06/09 7:53:35 PM MEZ","28","Male","Computer Science/Informatics","Master's student","Yes (2–3 courses)","More than 2 years","Daily","3–7 hours","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","9","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","1 - Strongly disagree","5 - Strongly agree","3 - Neither agree nor disagree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","4 - Agree","4","3","4","4","3","2","2","1 - Not at all"
"2026/06/09 9:01:37 PM MEZ","23","Male","Natural Sciences","Master's student","No","1–2 years","A few times a week","1–3 hours","4","8","2","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","e) I don't know","e) I don't know","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","e) I don't know","5","4 - Agree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4 - Agree","4","3","2","4","3","2","2","4"
"2026/06/16 10:33:10 PM MEZ","26","Male","Computer Science/Informatics","Graduate working","Yes (1 course)","1–2 years","Daily","1–3 hours","5","8","4","e) I don't know","e) I don't know","e) I don't know","b) Randomized division into test and training data","c) Humans can influence the result during development at several process steps","a) AI systems strive for autonomy","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","e) I don't know","e) I don't know","3","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","2 - Disagree","4 - Agree","5 - Completely","4","4","4","3","3","3","3"
"2026/06/16 10:34:32 PM MEZ","23","Female","Mathematics/Statistics","Master's student","Yes (1 course)","1–2 years","Daily","3–7 hours","4","8","3","a) It can predict the output values of the test data as well as possible","d) In supervised learning, stricter legal regulations apply","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","a) AI systems strive for autonomy","d) They are derived from expert systems in which expert knowledge is stored","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","c) Lack of legal certainty in the event of AI breakdown","5","4 - Agree","4 - Agree","2 - Disagree","2 - Disagree","3 - Neither agree nor disagree","5 - Strongly agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","4 - Agree","4","4","2","3","3","2","4","3"
"2026/06/16 10:35:21 PM MEZ","23","Male","Mathematics/Statistics","Master's student","No","1–2 years","A few times a week","1–3 hours","4","8","3","c) It is as well adapted as possible to the training data","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","d) The training and test data should be as different from each other as possible","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","d) Many users have little knowledge about AI","c) Lack of legal certainty in the event of AI breakdown","5","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","3","3","4","5 - Completely","3","1 - Not at all","2","2"
"2026/06/16 10:56:32 PM MEZ","22","Female","Health/Medicine/Psychology","Master's student","No","Less than 6 months","Daily","Less than 30 minutes","4","8","3","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","0","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","4 - Agree","4","3","2","3","3","2","4","3"
"2026/06/16 10:57:03 PM MEZ","23","Female","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","1–2 years","A few times a week","1–3 hours","3","8","2","e) I don't know","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","a) Calculation of the accuracy of the prediction","e) I don't know","a) AI systems strive for autonomy","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","c) Lack of legal certainty in the event of AI breakdown","7","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","4 - Agree","4 - Agree","4 - Agree","3","2","2","3","2","1 - Not at all","1 - Not at all","2"
"2026/06/16 10:59:32 PM MEZ","59","Female","Social Sciences","Undergraduate","No","Less than 6 months","Never or almost never","I don't use them weekly","2","8","1","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","e) I don't know","3","2 - Disagree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","2 - Disagree","2 - Disagree","2 - Disagree","2 - Disagree","2 - Disagree","2 - Disagree","2 - Disagree","4 - Agree","3","2","2","4","2","1 - Not at all","3","3"
"2026/06/16 11:12:56 PM MEZ","50","Female","Mathematics/Statistics","Undergraduate","Yes (2–3 courses)","1–2 years","Daily","30–60 minutes","3","8","3","e) I don't know","e) I don't know","a) The data should be divided into parts of as equal size as possible","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","c) Lack of legal certainty in the event of AI breakdown","4","4 - Agree","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","1 - Strongly disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","4 - Agree","4","4","4","4","4","3","3","3"
"2026/06/16 11:18:01 PM MEZ","23","Male","Natural Sciences","Master's student","No","1–2 years","A few times a month","I don't use them weekly","4","8","2","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","a) The data should be divided into parts of as equal size as possible","d) Abstraction of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","a) Their work is often observed by humans and corrected if necessary ('supervised learning')","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","e) I don't know","b) Discrimination against suspects based on origin and status","8","4 - Agree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","5 - Strongly agree","4 - Agree","4 - Agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","4 - Agree","3","4","2","3","2","2","1 - Not at all","1 - Not at all"
"2026/06/17 9:02:55 AM MEZ","22","Prefer not to say","Mathematics/Statistics","Master's student","No","Less than 6 months","A few times a week","1–3 hours","4","9","2","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","c) The test data should be of higher quality than the training data","a) Calculation of the accuracy of the prediction","c) Humans can influence the result during development at several process steps","c) AI systems perform behaviors randomly","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","d) Many users have little knowledge about AI","b) Discrimination against suspects based on origin and status","5","4 - Agree","3 - Neither agree nor disagree","4 - Agree","1 - Strongly disagree","1 - Strongly disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","4 - Agree","3","3","3","4","3","1 - Not at all","1 - Not at all","1 - Not at all"
"2026/06/17 1:25:04 PM MEZ","24","Female","HR","Master's student","Yes (1 course)","More than 2 years","Daily","30–60 minutes","3","8","2","e) I don't know","e) I don't know","e) I don't know","e) I don't know","c) Humans can influence the result during development at several process steps","e) I don't know","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","e) I don't know","2","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","2 - Disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","2 - Disagree","4 - Agree","3","3","1 - Not at all","3","3","2","2","2"
"2026/06/17 1:29:59 PM MEZ","23","Female","Social Sciences","Master's student","No","More than 2 years","A few times a week","1–3 hours","3","8","1","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","e) I don't know","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","e) I don't know","2","2 - Disagree","2 - Disagree","3 - Neither agree nor disagree","1 - Strongly disagree","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","5 - Strongly agree","3 - Neither agree nor disagree","4 - Agree","4","2","1 - Not at all","4","3","3","2","3"
"2026/06/17 2:27:12 PM MEZ","22","Male","Mathematics/Statistics","Master's student","No","More than 2 years","A few times a week","1–3 hours","4","8","3","a) It can predict the output values of the test data as well as possible","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","c) The test data should be of higher quality than the training data","b) Randomized division into test and training data","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","6","4 - Agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4 - Agree","4 - Agree","5 - Completely","4","2","1 - Not at all","4","3","4","5 - Completely"
"2026/06/17 2:35:31 PM MEZ","22","Male","Political Science ","Master's student","No","1–2 years","A few times a week","1–3 hours","3","8","2","e) I don't know","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","e) I don't know","b) Randomized division into test and training data","b) The results can only be influenced when selecting the data the model learns with","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","e) I don't know","b) Discrimination against suspects based on origin and status","2","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","5 - Strongly agree","2 - Disagree","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","3","3","3","4","3","2","3","2"
"2026/06/17 2:47:41 PM MEZ","23","Male","Health/Medicine/Psychology","Undergraduate","No","More than 2 years","Daily","1–3 hours","4","8","2","e) I don't know","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","e) I don't know","e) I don't know","b) The results can only be influenced when selecting the data the model learns with","b) AI systems pursue a goal that has been given to them by humans","b) They think similarly to humans, but faster","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","e) I don't know","b) Discrimination against suspects based on origin and status","6","4 - Agree","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","1 - Strongly disagree","1 - Strongly disagree","1 - Strongly disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4","4","3","5 - Completely","4","3","1 - Not at all","2"
"2026/06/17 2:56:44 PM MEZ","22","Male","Engineering/Technology","Master's student","No","1–2 years","Daily","1–3 hours","4","8","3","b) It contains as few variables as possible","c) In supervised learning, all computational steps are documented","b) The data should be randomly divided into training and test data sets","c) Selection of the model","b) The results can only be influenced when selecting the data the model learns with","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","d) Only one's own data when using the service","c) Most models are generally better at recognizing cats than dogs","c) Users are often not informed about the application of AI","c) Lack of legal certainty in the event of AI breakdown","6","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","5 - Strongly agree","3 - Neither agree nor disagree","4 - Agree","5 - Completely","4","3","4","4","2","2","4"
"2026/06/17 2:57:36 PM MEZ","24","Female","Mathematics/Statistics","Master's student","Yes (1 course)","1–2 years","Daily","1–3 hours","4","8","4","c) It is as well adapted as possible to the training data","b) In supervised learning, humans must supervise the AI during learning and intervene if necessary","b) The data should be randomly divided into training and test data sets","a) Calculation of the accuracy of the prediction","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","8","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","4 - Agree","2 - Disagree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","4","3","4","3","2","2","1 - Not at all","2"
"2026/06/17 3:07:44 PM MEZ","24","Female","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","More than 2 years","Daily","More than 7 hours","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","8","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","5 - Strongly agree","4 - Agree","1 - Strongly disagree","2 - Disagree","5 - Strongly agree","1 - Strongly disagree","4 - Agree","3","5 - Completely","1 - Not at all","5 - Completely","4","2","1 - Not at all","2"
"2026/06/17 3:52:15 PM MEZ","23","Female","Mathematics/Statistics","Master's student","Yes (1 course)","More than 2 years","Daily","1–3 hours","4","8","1","a) It can predict the output values of the test data as well as possible","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","0","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","4","3","4","2","3","1 - Not at all","1 - Not at all","5 - Completely"
"2026/06/17 3:58:07 PM MEZ","24","Male","AI/Data Science/Machine Learning","Master's student","Yes (>3 courses)","More than 2 years","A few times a week","1–3 hours","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","d) The training and test data should be as different from each other as possible","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","e) I don't know","10","4 - Agree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","4 - Agree","4 - Agree","4 - Agree","4","4","3","4","3","1 - Not at all","1 - Not at all","3"
"2026/06/17 4:31:12 PM MEZ","23","Male","Computer Science/Informatics","Master's student","Yes (2–3 courses)","More than 2 years","Multiple times per day","3–7 hours","5","8","5","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","c) Selection of the model","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","a) The data of every user when using the service","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","10","4 - Agree","5 - Strongly agree","5 - Strongly agree","4 - Agree","4 - Agree","5 - Strongly agree","2 - Disagree","3 - Neither agree nor disagree","1 - Strongly disagree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","5 - Completely","5 - Completely","3","5 - Completely","5 - Completely","4","2","4"
"2026/06/17 4:36:59 PM MEZ","26","Male","Business/Management/Marketing","Graduate working","Yes (1 course)","More than 2 years","Multiple times per day","3–7 hours","4","8","4","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","d) The training and test data should be as different from each other as possible","e) I don't know","b) The results can only be influenced when selecting the data the model learns with","e) I don't know","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","e) I don't know","3","4 - Agree","4 - Agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","5 - Strongly agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","2 - Disagree","2 - Disagree","2 - Disagree","4 - Agree","4","4","4","4","4","4","4","4"
"2026/06/17 5:56:44 PM MEZ","24","Female","Economics/Econometrics","Master's student","No","More than 2 years","Daily","1–3 hours","3","4","2","e) I don't know","d) In supervised learning, stricter legal regulations apply","d) The training and test data should be as different from each other as possible","c) Selection of the model","d) Humans can only influence the interpretation of the results","d) AI systems seek out goals independently and pursue them","c) They can draw conclusions from large amounts of data and thus improve their model","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","c) Lack of legal certainty in the event of AI breakdown","2","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","2 - Disagree","5 - Strongly agree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","4 - Agree","4","4","4","5 - Completely","4","3","4","1 - Not at all"
"2026/06/17 9:28:50 PM MEZ","19","Female","Computer Science/Informatics","Undergraduate","No","6–12 months","A few times a month","30–60 minutes","4","eight","3","e) I don't know","e) I don't know","e) I don't know","c) Selection of the model","b) The results can only be influenced when selecting the data the model learns with","e) I don't know","c) They can draw conclusions from large amounts of data and thus improve their model","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","b) Discrimination against suspects based on origin and status","3","1 - Strongly disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","1 - Strongly disagree","2 - Disagree","4 - Agree","1 - Strongly disagree","4 - Agree","4","4","3","4","4","1 - Not at all","1 - Not at all","1 - Not at all"
"2026/06/17 10:11:00 PM MEZ","28","Male","Business/Management/Marketing","Master's student","No","6–12 months","Multiple times per day","1–3 hours","2","8 (is this a test for bots or what?)","2","c) It is as well adapted as possible to the training data","e) I don't know","e) I don't know","a) Calculation of the accuracy of the prediction","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","d) Only one's own data when using the service","d) The training data for dogs were not representative of all dog breeds","e) I don't know","e) I don't know","5","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","5 - Strongly agree","4 - Agree","4 - Agree","5 - Strongly agree","5 - Strongly agree","2 - Disagree","4 - Agree","5 - Completely","5 - Completely","4","4","4","3","1 - Not at all","4"
"2026/06/18 2:20:00 AM MEZ","24","Male","AI/Data Science/Machine Learning","Graduate working","Yes (>3 courses)","More than 2 years","Multiple times per day","More than 7 hours","5","8","5","a) It can predict the output values of the test data as well as possible","a) In supervised learning, the output values of the training data are known","b) The data should be randomly divided into training and test data sets","e) I don't know","c) Humans can influence the result during development at several process steps","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","b) All data that a user of the service leaves on the internet","d) The training data for dogs were not representative of all dog breeds","b) It is often difficult to determine how AI makes decisions","b) Discrimination against suspects based on origin and status","7","2 - Disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","1 - Strongly disagree","2 - Disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","3 - Neither agree nor disagree","4 - Agree","3","4","3","4","3","3","2","2"
"2026/06/18 2:00:53 PM MEZ","23","Female","Arts/Design","Master's student","No","More than 2 years","Daily","3–7 hours","4","8","3","c) It is as well adapted as possible to the training data","e) I don't know","e) I don't know","c) Selection of the model","e) I don't know","b) AI systems pursue a goal that has been given to them by humans","c) They can draw conclusions from large amounts of data and thus improve their model","e) I don't know","d) The training data for dogs were not representative of all dog breeds","a) AI entails a residual risk that is hard to calculate","e) I don't know","4","4 - Agree","4 - Agree","4 - Agree","1 - Strongly disagree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","4 - Agree","4 - Agree","2 - Disagree","4 - Agree","4","4","3","4","4","3","2","4"
"2026/06/20 3:30:51 PM MEZ","28","Male","Engineering/Technology","Graduate working","No","6–12 months","A few times a week","Less than 30 minutes","4","8","2","a) It can predict the output values of the test data as well as possible","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","e) I don't know","d) The training data for dogs were not representative of all dog breeds","e) I don't know","a) Vulnerability to hacking","3","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","2 - Disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","3 - Neither agree nor disagree","4 - Agree","3 - Neither agree nor disagree","5 - Strongly agree","4","3","3","3","3","3","2","3"
